entite_politique,transfuges_entrants,transfuges_sortants,date
Parti conservateur du Québec,3,9,2023-08-30
Parti libéral du Québec,14,21,2023-08-30
Parti québécois,28,18,2023-08-30
Québec solidaire,0,14,2023-08-30
Coalition avenir Québec,42,25,2023-08-29
Parti conservateur du Québec,3,9,2023-08-29
Parti libéral du Québec,14,21,2023-08-29
Parti québécois,28,18,2023-08-29
Québec solidaire,0,14,2023-08-29
Coalition avenir Québec,42,25,2023-08-28
Parti conservateur du Québec,3,9,2023-08-28
Parti libéral du Québec,14,21,2023-08-28
Parti québécois,28,18,2023-08-28
Québec solidaire,0,14,2023-08-28
Coalition avenir Québec,42,25,2023-08-27
Parti conservateur du Québec,3,9,2023-08-27
Parti libéral du Québec,14,21,2023-08-27
Parti québécois,28,18,2023-08-27
Québec solidaire,0,14,2023-08-27
Coalition avenir Québec,42,25,2023-08-26
Parti conservateur du Québec,3,9,2023-08-26
Parti libéral du Québec,14,21,2023-08-26
Parti québécois,28,18,2023-08-26
Québec solidaire,0,14,2023-08-26
Coalition avenir Québec,42,25,2023-08-25
Parti conservateur du Québec,3,9,2023-08-25
Parti libéral du Québec,14,21,2023-08-25
Parti québécois,28,18,2023-08-25
Québec solidaire,0,14,2023-08-25
Coalition avenir Québec,42,25,2023-08-24
Parti conservateur du Québec,3,9,2023-08-24
Parti libéral du Québec,14,21,2023-08-24
Parti québécois,28,18,2023-08-24
Québec solidaire,0,14,2023-08-24
Coalition avenir Québec,42,25,2023-08-23
Parti conservateur du Québec,3,9,2023-08-23
Parti libéral du Québec,14,21,2023-08-23
Parti québécois,28,18,2023-08-23
Québec solidaire,0,14,2023-08-23
Coalition avenir Québec,42,25,2023-08-22
Parti conservateur du Québec,3,9,2023-08-22
Parti libéral du Québec,14,21,2023-08-22
Parti québécois,28,18,2023-08-22
Québec solidaire,0,14,2023-08-22
Coalition avenir Québec,42,25,2023-08-21
Parti conservateur du Québec,3,9,2023-08-21
Parti libéral du Québec,14,21,2023-08-21
Parti québécois,28,18,2023-08-21
Québec solidaire,0,14,2023-08-21
Coalition avenir Québec,42,25,2023-08-20
Parti conservateur du Québec,3,9,2023-08-20
Parti libéral du Québec,14,21,2023-08-20
Parti québécois,28,18,2023-08-20
Québec solidaire,0,14,2023-08-20
Coalition avenir Québec,42,25,2023-08-19
Parti conservateur du Québec,3,9,2023-08-19
Parti libéral du Québec,14,21,2023-08-19
Parti québécois,28,18,2023-08-19
Québec solidaire,0,14,2023-08-19
Coalition avenir Québec,42,25,2023-08-18
Parti conservateur du Québec,3,9,2023-08-18
Parti libéral du Québec,14,21,2023-08-18
Parti québécois,28,18,2023-08-18
Québec solidaire,0,14,2023-08-18
Coalition avenir Québec,42,25,2023-08-17
Parti conservateur du Québec,3,9,2023-08-17
Parti libéral du Québec,14,21,2023-08-17
Parti québécois,28,18,2023-08-17
Québec solidaire,0,14,2023-08-17
Coalition avenir Québec,43,25,2023-08-16
Parti conservateur du Québec,3,9,2023-08-16
Parti libéral du Québec,14,22,2023-08-16
Parti québécois,28,18,2023-08-16
Québec solidaire,0,14,2023-08-16
Coalition avenir Québec,42,25,2023-08-15
Parti conservateur du Québec,3,9,2023-08-15
Parti libéral du Québec,14,22,2023-08-15
Parti québécois,28,17,2023-08-15
Québec solidaire,0,14,2023-08-15
Coalition avenir Québec,42,25,2023-08-14
Parti conservateur du Québec,3,9,2023-08-14
Parti libéral du Québec,14,22,2023-08-14
Parti québécois,28,17,2023-08-14
Québec solidaire,0,14,2023-08-14
Coalition avenir Québec,42,25,2023-08-13
Parti conservateur du Québec,3,9,2023-08-13
Parti libéral du Québec,14,22,2023-08-13
Parti québécois,28,17,2023-08-13
Québec solidaire,0,14,2023-08-13
Coalition avenir Québec,42,24,2023-08-12
Parti conservateur du Québec,3,9,2023-08-12
Parti libéral du Québec,13,22,2023-08-12
Parti québécois,28,17,2023-08-12
Québec solidaire,0,14,2023-08-12
Coalition avenir Québec,42,24,2023-08-11
Parti conservateur du Québec,3,9,2023-08-11
Parti libéral du Québec,13,22,2023-08-11
Parti québécois,28,17,2023-08-11
Québec solidaire,0,14,2023-08-11
Coalition avenir Québec,42,24,2023-08-10
Parti conservateur du Québec,3,9,2023-08-10
